Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],Latest Year Available [YR20080],"Latest Year Available, period 1990-1995 [YR19950]","Latest Year Available, period 1996-2000 [YR20006]","Latest Year Available, period 2001-2008 [YR20081]"
001. Benin_SBEE,BEN_SBEE,Average residential connection charge (LCU/connection),AFELE118,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Average residential connection charge (USD/connection),AFELE119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Collection rate, implicit: ratio of unit revenue collected to tariff (%)",AFELE154,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,100,..,..,100
001. Benin_SBEE,BEN_SBEE,"Collection rate, reported by utility (% of billing)",AFELE126,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Cost of electricity per unit, capital, historical (US cents/kWh)",AFELE111,..,..,..,..,..,..,..,..,..,..,..,11.5822823192855,..,..,..,..,11.5822823192855,..,..,11.5822823192855
001. Benin_SBEE,BEN_SBEE,"Cost of electricity per unit, LRMC, optimal trade scenario (US cents/kWh)",AFELE114,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,..,19,..,..,19
001. Benin_SBEE,BEN_SBEE,"Cost of electricity per unit, LRMC, trade stagnation scenario (US cents/kWh)",AFELE115,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,..,19,..,..,19
001. Benin_SBEE,BEN_SBEE,"Cost of electricity per unit, operating, historical (US cents/kWh)",AFELE112,..,..,..,..,..,..,..,..,..,..,..,2.14553447468018,..,..,..,..,2.14553447468018,..,..,2.14553447468018
001. Benin_SBEE,BEN_SBEE,"Cost of electricity per unit, total, historical (US cents/kWh)",AFELE113,..,..,..,..,..,..,..,..,..,..,..,13.7259131521635,..,..,..,..,13.7259131521635,..,..,13.7259131521635
001. Benin_SBEE,BEN_SBEE,"Cost recovery ratio, historical (%)",AFELE150,..,..,..,..,..,..,..,..,..,..,..,99.2791601900815,..,..,..,..,99.2791601900815,..,..,99.2791601900815
001. Benin_SBEE,BEN_SBEE,"Cost recovery ratio, LRMC (%)",AFELE155,..,..,..,..,..,..,..,..,..,..,..,71.7209016099359,..,..,..,..,71.7209016099359,..,..,71.7209016099359
001. Benin_SBEE,BEN_SBEE,"Customers, all voltage levels (number)",AFELE174,..,..,..,..,..,..,199575,213843,245740,265827,285005,306185,..,..,..,..,306185,..,..,306185
001. Benin_SBEE,BEN_SBEE,"Customers, high and medium voltage (% of total number of customers)",AFELE153,..,..,..,..,..,..,0.22948766128022,0.218384515742858,0.199397737446081,0.157621310100178,0.157190224732899,0.156441367147313,..,..,..,..,0.156441367147313,..,..,0.156441367147313
001. Benin_SBEE,BEN_SBEE,"Customers, high and medium voltage (number)",AFELE172,..,..,..,..,..,..,458,467,490,419,448,479,..,..,..,..,479,..,..,479
001. Benin_SBEE,BEN_SBEE,"Customers, high voltage (number)",AFELE171,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,0,..,..,0
001. Benin_SBEE,BEN_SBEE,"Customers, low voltage (number)",AFELE173,..,..,..,..,..,..,199117,213376,245250,265408,284557,305706,..,..,..,..,305706,..,..,305706
001. Benin_SBEE,BEN_SBEE,"Customers, medium voltage (number)",AFELE175,..,..,..,..,..,..,458,467,490,419,448,479,..,..,..,..,479,..,..,479
001. Benin_SBEE,BEN_SBEE,"Effective tariff, consumption 100kWh/month (US cents/kWh)",AFELE127,..,..,..,..,..,..,..,..,..,..,..,13.6269713058878,..,..,..,..,13.6269713058878,..,..,13.6269713058878
001. Benin_SBEE,BEN_SBEE,"Effective tariff, consumption 150kWh/month (US cents/kWh)",AFELE128,..,..,..,..,..,..,..,..,..,..,..,13.9596162283379,..,..,..,..,13.9596162283379,..,..,13.9596162283379
