Code,"Indicator Name","Long definition","Source"
SH.HIV.KNOW.FE.ZS,"% of females ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions)","Knowledge of HIV is the percentage of respondents who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF."
SH.HIV.KNOW.MA.ZS,"% of males ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions)","Knowledge of HIV is the percentage of respondents who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.","Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF."
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Adolescent fertility rate is the number of births per 1,000 women ages 15-19.","United Nations Population Division, World Population Prospects."
SH.HIV.TOTL,"Adults (ages 15+) and children (0-14 years) living with HIV","Adults and children living with HIV refers to the number of people ages 0-49 (adult ages 15-49 and children ages 0-14) who are infected with HIV.","UNAIDS estimates."
SH.HIV.INCD.TL,"Adults (ages 15+) and children (ages 0-14) newly infected with HIV","Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV.","UNAIDS estimates."
SH.DYN.AIDS,"Adults (ages 15+) living with HIV","Adults living with HIV refers to the number of people ages 15-49 who are infected with HIV.","UNAIDS estimates."
SH.HIV.INCD,"Adults (ages 15+) newly infected with HIV","Number of adults (ages 15+) newly infected with HIV.","UNAIDS estimates."
SP.DYN.SMAM.FE,"Mean age at first marriage, female","Mean age at marriage, female shows the average length of single life expressed in years among those females who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data."
SP.DYN.SMAM.MA,"Mean age at first marriage, male","Mean age at marriage, male shows the average length of single life expressed in years among those males who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data."
SP.POP.DPND,"Age dependency ratio (% of working-age population)","Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)","Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)","Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","World Bank staff estimates using the World Bank's population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.AG00.FE.IN,"Age population, age 0, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG00.MA.IN,"Age population, age 0, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG01.FE.IN,"Age population, age 01, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG01.MA.IN,"Age population, age 01, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG02.FE.IN,"Age population, age 02, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG02.MA.IN,"Age population, age 02, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG03.FE.IN,"Age population, age 03, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG03.MA.IN,"Age population, age 03, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG04.FE.IN,"Age population, age 04, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG04.MA.IN,"Age population, age 04, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG05.FE.IN,"Age population, age 05, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG05.MA.IN,"Age population, age 05, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG06.FE.IN,"Age population, age 06, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG06.MA.IN,"Age population, age 06, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG07.FE.IN,"Age population, age 07, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG07.MA.IN,"Age population, age 07, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG08.FE.IN,"Age population, age 08, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG08.MA.IN,"Age population, age 08, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG09.FE.IN,"Age population, age 09, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG09.MA.IN,"Age population, age 09, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG10.FE.IN,"Age population, age 10, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG10.MA.IN,"Age population, age 10, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG11.FE.IN,"Age population, age 11, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG11.MA.IN,"Age population, age 11, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG12.FE.IN,"Age population, age 12, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG12.MA.IN,"Age population, age 12, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG13.FE.IN,"Age population, age 13, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG13.MA.IN,"Age population, age 13, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG14.FE.IN,"Age population, age 14, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG14.MA.IN,"Age population, age 14, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG15.FE.IN,"Age population, age 15, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG15.MA.IN,"Age population, age 15, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG16.FE.IN,"Age population, age 16, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG16.MA.IN,"Age population, age 16, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG17.FE.IN,"Age population, age 17, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG17.MA.IN,"Age population, age 17, male, interpolated","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
SP.POP.AG18.FE.IN,"Age population, age 18, female, interpolated","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","The United Nations Population Division’s World Population Prospects."
